Part;Value;Device;Package;Description;ARROW_PART_NUMBER;ARROW_PRICE-STOCK;DESCRIPTION;HEIGHT;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;POPULARITY;SPICEPREFIX
C1;0.1uF;C-EU025-025X050;C025-025X050;CAPACITOR, European symbol;;;;;;;;;65;C
C2;10uF;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;;;;;;23;C
C3;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;14;C
C4;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;14;C
C5;0.1uF;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;;;;;14;C
D1;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D2;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D3;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D4;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D5;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D6;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D7;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
D8;;SCHOTTKY-DIODEDO41;DO41-10;Schottky Diode;;;;;;;;;;
H1;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;;;;1;
H2;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;;;;1;
H3;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;;;;1;
H4;MOUNT-PAD-ROUND3.3;MOUNT-PAD-ROUND3.3;3,3-PAD;MOUNTING PAD, round;;;;;;;;;1;
IC1;INA219BIDR;INA219BIDR;SOIC127P600X175-8N;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;;;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;1.75mm;Texas Instruments;INA219BIDR;595-INA219BIDR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA219BIDR?qs=1WmUhT%2FVMINyGsXNJcdD5Q%3D%3D;;
IC2;INA219BIDR;INA219BIDR;SOIC127P600X175-8N;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;;;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;1.75mm;Texas Instruments;INA219BIDR;595-INA219BIDR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA219BIDR?qs=1WmUhT%2FVMINyGsXNJcdD5Q%3D%3D;;
JST-XH1;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;
JST-XH2;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;
MOTOR-L;1747993;1747993;1747993;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;;;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;12.15mm;Phoenix Contact;1747993;651-1747993;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1747993?qs=cq3Rj917t3li0%2FrJTXaRgg%3D%3D;;
MOTOR-R;1747993;1747993;1747993;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;;;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;12.15mm;Phoenix Contact;1747993;651-1747993;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1747993?qs=cq3Rj917t3li0%2FrJTXaRgg%3D%3D;;
PWR;GN;LED5MM;LED5MM;LED;;;;;;;;;;
Q1;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q2;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q3;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q4;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q5;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q6;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q7;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
Q8;IRFB7430PBF;IRFB7430PBF;TO254P483X1016X1994-3P;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;;;Infineon IRFB7430PBF N-channel MOSFET, 195 A, 40 V StrongIRFET, 3-Pin TO-220AB;4.83mm;Infineon;IRFB7430PBF;942-IRFB7430PBF;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB7430PBF?qs=PRpJrl6HpdwkCaEhLAouSA%3D%3D;;
R1;12m;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;79;R
R2;12m;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;79;R
R3;10k;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;79;R
R4;220;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;79;R
R5;220;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;79;R
RESET;;SWITCH_PUSHBUTTONEVQ-PE;TACT_PANA-EVQ;Buttons;;;;;;;;;;
STATUS;RD;LED5MM;LED5MM;LED;;;;;;;;;;
SUPPLY;1747993;1747993;1747993;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;;;PCB header, nominal cross section: 2.5 mm?, color: green, nominal current: 12 A, rated voltage (III/2): 320 V, contact surface: Gold, type of contact: Male connector, Number of potentials: 2, Number of rows: 1, Number of positions per row: 2, number of connections: 2, product range: MSTBVA 2,5/..-G, pitch: 5.08 mm, mounting: Wave soldering, pin layout: Linear pinning, solder pin [P]: 3.9 mm, Stecksystem: CLASSIC COMBICON, Locking: without, type of packaging: packed in cardboard;12.15mm;Phoenix Contact;1747993;651-1747993;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1747993?qs=cq3Rj917t3li0%2FrJTXaRgg%3D%3D;;
U$1;ATTINY84DIP;ATTINY84DIP;ATTINY84(DIP);;;;;;;;;;;
